"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ukraine,  Audiovisual and related services,..,..,..,..,..,..,0.125981918,0.193493772,0.19674572,0.185720182
Ukraine,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Union of Soviet Socialist Republics,"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
Union of Soviet Socialist Republics,"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
Union of Soviet Socialist Republics,Research and Development,_,_,_,_,_,_,_,_,_,_
Union of Soviet Socialist Republics,"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Union of Soviet Socialist Republics,  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
Union of Soviet Socialist Republics,"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
United Arab Emirates,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
United Arab Emirates,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
United Arab Emirates,Research and Development,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
United Arab Emirates,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
United Kingdom,"Advertising, market research and public opinion polling",2.219887189,1.819798778,2.10385274,1.788915696,1.642498989,1.695494031,1.600656538,1.686481008,1.80567859,..
United Kingdom,"Architectural, engineering and other technical services",5.49563732,5.043573379,4.577171869,4.217787864,3.50302829,3.986858863,3.519392731,3.719736896,4.071638277,..
United Kingdom,Research and Development,3.516795722,4.136915288,4.119279839,3.777379535,3.601314996,3.6602571,3.38298659,3.334238552,3.162527143,..
United Kingdom,"Personal, cultural and recreational services",1.948968665,1.986497319,1.963771418,1.664977664,1.299878901,1.468096974,1.370697978,1.47610425,1.568992965,1.391704035
United Kingdom,  Audiovisual and related services,1.319571194,1.444725152,1.376303529,1.127133664,0.796677388,0.876735389,0.674183067,0.669275145,0.696966814,-
United Kingdom,"  Other other personal, cultural and recreational services",0.629397521,0.541772279,0.587467724,0.537844123,0.503201132,0.591361667,0.696514776,0.806829181,0.872026745,..
United Republic of Tanzania,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
United Republic of Tanzania,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
United Republic of Tanzania,Research and Development,..,..,..,..,..,..,..,..,..,..
United Republic of Tanzania,"Personal, cultural and recreational services",0.129568804,0.00520452,0.052475653,0.006086148,0.049047309,0.520872941,0.149247293,0.060613556,0.067724868,-
United Republic of Tanzania,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
United Republic of Tanzania,"  Other other personal, cultural and recreational services",0.129568804,0.00520452,0.052475653,0.006086148,0.049047309,0.520872941,0.149247293,0.060613556,0.067724868,..
United States,"Advertising, market research and public opinion polling",0.175092025,0.169461596,0.237871475,0.895068465,0.829716309,0.79126191,0.823495642,0.792691887,0.689760315,..
United States,"Architectural, engineering and other technical services",0.679370603,0.87385016,0.892814476,1.115455054,1.061557763,1.077016035,1.11315908,1.146159518,1.368491784,..
United States,Research and Development,3.206182205,2.789262042,2.769238121,3.038915195,3.172086451,3.224726935,3.541346305,3.849856648,3.844388385,..
United States,"Personal, cultural and recreational services",0.06705652,0.063584558,0.065839426,0.102246093,0.128913593,0.138879851,0.1449233,0.181119772,0.14697552,-
United States,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
United States,"  Other other personal, cultural and recreational services",0.06705652,0.063584558,0.065839426,0.102246093,0.128913593,0.138879851,0.1449233,0.181119772,0.14697552,..
Uruguay,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Uruguay,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Uruguay,Research and Development,..,..,..,..,..,..,..,..,..,..
Uruguay,"Personal, cultural and recreational services",0.046282972,0.080517471,0.02798792,0.16173789,0.011072023,0.016646609,0.030194662,0.058725308,0.044569949,0.047325702
Uruguay,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Uruguay,"  Other other personal, cultural and recreational services",0.046282972,0.080517471,0.02798792,0.16173789,0.011072023,0.016646609,0.030194662,0.058725308,0.044569949,..
Uzbekistan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Uzbekistan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Uzbekistan,Research and Development,..,..,..,..,..,..,..,..,..,..
Uzbekistan,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Uzbekistan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Uzbekistan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Vanuatu,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Vanuatu,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Vanuatu,Research and Development,..,..,..,..,..,..,..,..,..,..
Vanuatu,"Personal, cultural and recreational services",-,-,-,-,-,0.018410766,0.057199481,0.043729829,0.062506329,-
Vanuatu,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Vanuatu,"  Other other personal, cultural and recreational services",..,..,..,..,..,0.018410766,0.057199481,0.043729829,0.062506329,..
Venezuela (Bolivarian Republic of),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Venezuela (Bolivarian Republic of),"Architectural, engineering and other technical services",3.530751708,3.411131059,2.980625931,2.849740933,2.494577007,3.271889401,3.233048945,3.713670614,3.813346714,3.673469388
Venezuela (Bolivarian Republic of),Research and Development,..,..,..,..,..,..,..,..,..,..
Venezuela (Bolivarian Republic of),"Personal, cultural and recreational services",0.569476082,0.359066427,0.372578241,0.323834197,0.271149675,0.276497696,0.269420745,0.322927879,0.351229303,0.362811791
Venezuela (Bolivarian Republic of),  Audiovisual and related services,0.455580866,0.359066427,0.298062593,0.259067358,0.21691974,0.230414747,0.224517288,0.269106566,0.301053688,0.317460318
Venezuela (Bolivarian Republic of),"  Other other personal, cultural and recreational services",0.113895216,..,0.074515648,0.064766839,0.054229935,0.046082949,0.044903458,0.053821313,0.050175615,0.045351474
Viet Nam,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Viet Nam,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Viet Nam,Research and Development,..,..,..,..,..,..,..,..,..,..
Viet Nam,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Viet Nam,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Viet Nam,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Wallis and Futuna Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Western Sahara,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Western Sahara,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Western Sahara,Research and Development,..,..,..,..,..,..,..,..,..,..
Western Sahara,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Western Sahara,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Western Sahara,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Yemen,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Yemen,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Yemen,Research and Development,..,..,..,..,..,..,..,..,..,..
Yemen,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Yemen,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Yemen,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Yemen, Arab Republic","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Yemen, Arab Republic","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Yemen, Arab Republic",Research and Development,_,_,_,_,_,_,_,_,_,_
"Yemen, Arab Republic","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Yemen, Arab Republic",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Yemen, Arab Republic","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic",Research and Development,_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic",  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
"Yemen, Democratic","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Zambia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Zambia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Zambia,Research and Development,..,..,..,..,..,..,..,..,..,..
Zambia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,5.303696597,-
Zambia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Zambia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,5.303696597,..
Zimbabwe,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Zimbabwe,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Zimbabwe,Research and Development,..,..,..,..,..,..,..,..,..,..
Zimbabwe,"Personal, cultural and recreational services",0.817813464,0.524187509,0.579934274,0.656455142,0.721653242,0.897074756,0.828908667,0.745272887,0.660531189,-
Zimbabwe,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Zimbabwe,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
