"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cabo Verde,"  Other other personal, cultural and recreational services",0.023698905,0.01675077,0.004825162,..,0.39299255,0.011477714,0.044806509,0.001797667,0.012313178,0.001005392
Cambodia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Cambodia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Cambodia,Research and Development,..,..,..,..,..,..,..,..,..,..
Cambodia,"Personal, cultural and recreational services",0.197088204,0.149083509,0.125211294,0.123427267,0.116313633,0.121571679,0.131171797,0.089873099,0.090392866,0.098214829
Cambodia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Cambodia,"  Other other personal, cultural and recreational services",0.197088204,0.149083509,0.125211294,0.123427267,0.116313633,0.121571679,0.131171797,0.089873099,0.090392866,..
Cameroon,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Cameroon,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Cameroon,Research and Development,..,..,..,..,..,..,..,..,..,..
Cameroon,"Personal, cultural and recreational services",1.646132032,1.519776305,1.841473096,1.257316557,1.017832507,1.765375931,1.374718755,1.505982007,-,-
Cameroon,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Cameroon,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Canada,"Advertising, market research and public opinion polling",0.761168121,0.75256385,0.897702278,0.859241954,0.987364149,1.001549181,1.57037056,1.103702116,1.24602154,..
Canada,"Architectural, engineering and other technical services",6.334636771,6.757925215,7.27945233,6.162859865,6.552460364,7.002956464,7.751532005,6.803408775,6.457625375,..
Canada,Research and Development,5.275959496,5.044316774,4.722063007,4.753042542,4.74201038,5.061243119,5.583160851,5.633074104,5.541809217,5.038198905
Canada,"Personal, cultural and recreational services",3.196035441,3.654239675,3.707002787,3.78839319,3.505683531,3.194867661,3.251286145,2.968208582,3.09983437,3.042583358
Canada,  Audiovisual and related services,2.844695086,3.302390143,3.367968733,3.435019262,3.087166866,2.847611204,3.009856311,2.529335503,2.668156223,-
Canada,"  Other other personal, cultural and recreational services",0.351342616,0.351855498,0.33904301,0.353372271,0.418513604,0.347246217,0.241429555,0.438872954,0.431677583,..
Cayman Islands,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Cayman Islands,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Cayman Islands,Research and Development,..,..,..,..,..,..,..,..,..,..
Cayman Islands,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Cayman Islands,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Cayman Islands,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Central African Republic,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Central African Republic,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Central African Republic,Research and Development,..,..,..,..,..,..,..,..,..,..
Central African Republic,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Central African Republic,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Central African Republic,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Chad,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Chad,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Chad,Research and Development,..,..,..,..,..,..,..,..,..,..
Chad,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Chad,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Chad,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
