country_iso,year,electrification
TEA,1997,91.1893762
TEC,1997,99.9009157
TLA,1997,89.46329318
TON,1997,83.20726013
TSA,1997,50.42595378
TSS,1997,27.96741962
TUN,1997,92.0
TZA,1997,7.282453537
UGA,1997,6.022272587000001
UKR,1997,100.0
UMC,1997,94.56172623
URY,1997,97.94044495
USA,1997,100.0
UZB,1997,99.38913727
VCT,1997,75.78604889
VEN,1997,98.7
VIR,1997,100.0
VNM,1997,78.4
VUT,1997,17.77746582
WLD,1997,78.23785600000001
WSM,1997,84.83615875
XKX,1997,100.0
YEM,1997,42.6
ZAF,1997,68.49559784
ZMB,1997,17.08393288
ZWE,1997,32.70936203
ABW,1998,100.0
ALB,1998,100.0
AND,1998,100.0
ARE,1998,100.0
AUS,1998,100.0
AUT,1998,100.0
BDI,1998,3.9
BEL,1998,100.0
BEN,1998,18.07306862
BFA,1998,7.874684811
BGD,1998,27.41957283
BGR,1998,100.0
BHS,1998,100.0
BIH,1998,100.0
BLR,1998,100.0
BLZ,1998,76.98399353
BMU,1998,100.0
BOL,1998,71.2
BRA,1998,94.193812
BRN,1998,100.0
BWA,1998,23.05592346
CAF,1998,4.3882532119999995
CAN,1998,100.0
CEB,1998,100.0
CHE,1998,100.0
CHL,1998,97.241124
CHN,1998,95.9434433
CIV,1998,45.52711487
CMR,1998,40.7
COL,1998,93.20175171
COM,1998,34.9774971
CUW,1998,100.0
CYM,1998,100.0
CYP,1998,100.0
CZE,1998,100.0
DEU,1998,100.0
DJI,1998,56.35161591
DMA,1998,75.0
DNK,1998,100.0
DOM,1998,86.73700714
EAP,1998,91.26818523
EAR,1998,62.6002414
EAS,1998,92.25556057
ECA,1998,99.89515268
ECS,1998,99.95859358
ECU,1998,92.726642
EGY,1998,96.51148224
EMU,1998,100.0
ERI,1998,26.96209908
ESP,1998,100.0
EST,1998,100.0
EUU,1998,100.0
FIN,1998,100.0
FJI,1998,73.12180328
FRA,1998,100.0
FRO,1998,100.0
GBR,1998,100.0
GHA,1998,42.6
GIB,1998,100.0
GMB,1998,25.04060173
GRC,1998,100.0
GRD,1998,85.04
GRL,1998,100.0
GTM,1998,70.13137817
GUM,1998,100.0
